City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nantucket,41.2835,-70.0995,284.23,79,75,4.12,US,1699280295
1,east london,-33.0153,27.9116,295.13,87,100,4.86,ZA,1699280180
2,edinburgh of the seven seas,-37.0676,-12.3116,287.08,96,100,11.79,SH,1699280443
3,tiksi,71.6872,128.8694,249.47,99,42,3.1,RU,1699280444
4,vorkuta,67.5,64.0,267.7,95,100,7.34,RU,1699280343
5,adamstown,-25.066,-130.1015,295.89,79,97,8.27,PN,1699280446
6,wailua homesteads,22.0669,-159.378,296.59,92,100,4.63,US,1699280447
7,port-aux-francais,-49.35,70.2167,275.37,75,33,16.26,TF,1699280449
8,grytviken,-54.2811,-36.5092,276.37,89,47,1.26,GS,1699280450
9,blackmans bay,-43.0167,147.3167,284.22,88,7,1.87,AU,1699280451
10,punta arenas,-53.15,-70.9167,285.21,54,0,3.6,CL,1699280452
11,badger,64.8,-147.5333,266.08,91,100,1.54,US,1699280453
12,st. john's,47.5649,-52.7093,276.64,69,75,5.66,CA,1699280454
13,invercargill,-46.4,168.35,279.27,87,72,1.28,NZ,1699280455
14,mount pearl,47.5166,-52.7813,276.18,69,75,5.66,CA,1699280457
15,polyarnyy,69.1989,33.4478,274.28,85,96,5.49,RU,1699280458
16,yung shue wan,22.2333,114.1167,300.0,42,32,4.66,HK,1699280459
17,tazacorte,28.629,-17.9293,296.01,72,75,8.05,ES,1699280460
18,atafu village,-8.5421,-172.5159,301.34,75,100,3.26,TK,1699280461
19,ushuaia,-54.8,-68.3,285.94,65,40,2.57,AR,1699280462
20,yokadouma,3.5167,15.05,305.4,44,55,1.77,CM,1699280343
21,college,64.8569,-147.8028,266.12,90,100,1.54,US,1699280464
22,mandapam,9.2833,79.1167,302.01,76,99,5.08,IN,1699280465
23,kuacjok,8.3002,27.9903,305.05,44,14,1.37,SS,1699280466
24,grenaa,56.4158,10.8783,283.68,86,67,7.34,DK,1699280467
25,iqaluit,63.7506,-68.5145,263.0,78,75,7.72,CA,1699280390
26,ciudad melchor muzquiz,27.8833,-101.5167,292.79,67,100,1.04,MX,1699280469
27,severo-yeniseyskiy,60.3725,93.0408,264.58,85,97,4.02,RU,1699280470
28,tazovsky,67.4667,78.7,253.22,100,86,2.9,RU,1699280471
29,bilibino,68.0546,166.4372,249.62,98,30,2.57,RU,1699280472
30,sao joao da barra,-21.6403,-41.0511,300.2,56,3,5.08,BR,1699280473
31,shakhtersk,48.0625,38.5167,285.99,91,97,3.39,UA,1699280474
32,korla,41.7597,86.1469,280.09,20,8,1.05,CN,1699280476
33,mirnyy,62.5353,113.9611,260.08,97,100,1.37,RU,1699280213
34,barranca,-10.75,-77.7667,292.39,80,96,2.77,PE,1699280478
35,thompson,55.7435,-97.8558,263.24,85,100,2.06,CA,1699280479
